Location,Startup, Lat, Ln
Innertkirchen,1943.0,46.70517659999999,8.227400999999999
Innertkirchen,1967.0,46.70517659999999,8.227400999999999
Le Bévieux,1943.0,,
Mörel,1943.0,,
Mörel,1951.0,,
Trin,1944.0,46.82830449999999,9.362437199999999
Auenstein,1945.0,47.4166971,8.1362613
Wolfenschiessen,1945.0,46.9081639,8.3959084
Wolfenschiessen,1962.0,46.9081639,8.3959084
Rupperswil,1945.0,47.4051347,8.129040700000001
Sedrun,1945.0,46.679598,8.7737237
Sedrun,1968.0,46.679598,8.7737237
"St. Gallen, Sittertal",1945.0,,
Krummenau,1945.0,47.2262651,9.1988648
Diesbach,1945.0,46.916667,9.05
Erlenbach,1946.0,47.3052989,8.597147099999999
Erlenbach,1959.0,47.3052989,8.597147099999999
Tavanasa,1946.0,46.754091700000004,9.0623319
Tavanasa,1960.0,46.754091700000004,9.0623319
Tavanasa,1962.0,46.754091700000004,9.0623319
"Le Niollet, Champex",1947.0,,
Cap.dei Morti,1947.0,46.818188,8.227511999999999
Airolo,1947.0,46.5286074,8.612374599999999
Somvix,1947.0,46.72786079999999,8.938301599999997
"Plons, Gmde. Mels",1948.0,,
Gsteig b.Gstaad,1948.0,46.385263099999996,7.267346000000001
Tiefencastel,1949.0,46.6618506,9.5771616
Tiefencastel,1970.0,46.6618506,9.5771616
Tiefencastel,1989.0,46.6618506,9.5771616
Zermatt,1949.0,46.0207133,7.749117000000001
Zermatt,2002.0,46.0207133,7.749117000000001
Rothenbrunnen,1949.0,46.768246600000005,9.427283500000001
Rothenbrunnen,1958.0,46.768246600000005,9.427283500000001
Rothenbrunnen,1976.0,46.768246600000005,9.427283500000001
Laufen,1949.0,47.4204213,7.500487400000001
Laufen,1997.0,47.4204213,7.500487400000001
Pfaffensprung,1949.0,46.7136569,8.6089007
Brienz,1949.0,46.7541541,8.0316899
"Wangs, Gaschiels",1950.0,,
"Meiringen, Haselholz",1950.0,,
"Murgtal, Merlen",1950.0,,
"Vernayaz, Miéville",1950.0,,
Lavey,1950.0,46.2207033,7.014481699999998
Faido,1950.0,46.47821769999999,8.8009636
Clusanfe,1950.0,46.818188,8.227511999999999
"Siviez, Cleuson",1950.0,,
Neuhausen,1951.0,47.6837423,8.612609800000001
Roveredo,1951.0,46.23435019999999,9.1288093
"Gondo, San Marco",1952.0,,
Les Planchettes,1953.0,47.1064515,6.770286199999998
Les Planchettes,2005.0,47.1064515,6.770286199999998
Schinznach-Dorf,1953.0,47.4474737,8.1427966
Brissago,1953.0,46.1200438,8.711265699999998
Brissago,1973.0,46.1200438,8.711265699999998
Villnachern,1953.0,47.46941200000001,8.1631666
"Gondo, Tannuwald",1953.0,,
"Grimsel, Sommerloch u.Hospiz",1954.0,,
Niederernen,1954.0,46.393056,8.136111
