ZE-Name,ZE-Standort,ZE-Kanton,ZE-Status,ZE-Erste Inbetriebnahme,ZE-Kote,ZE-Koordinaten unscharf (Ost),ZE-Koordinaten unscharf (Nord)
Gondo,"Gondo, San Marco",Wallis,im Normalbetrieb,1952,800,654960,116310
Bramois (Groupe 7),Bramois,Wallis,im Normalbetrieb,1953,520.25,597480,119370
Le Châtelot,Les Planchettes,Neuenburg,im Normalbetrieb,1953,621.5,549560,219100
Wildegg-Brugg-Dotierzentrale,Schinznach-Dorf,Aargau,im Normalbetrieb,1953,344.5,654630,255880
Verbano 1,Brissago,Tessin,im Normalbetrieb,1953,203,698780,109730
Wildegg-Brugg,Villnachern,Aargau,im Normalbetrieb,1953,343,655130,257820
Tannuwald,"Gondo, Tannuwald",Wallis,im Normalbetrieb,1953,1395.3,651710,111160
Grimsel 1 (Oberaarsee),"Grimsel, Sommerloch u.Hospiz",Bern,im Normalbetrieb,1954,1770.7,668600,158620
Ernen,Niederernen,Wallis,im Normalbetrieb,1954,998.35,653190,137990
Tinizong,Tinizong,Graubünden,im Normalbetrieb,1954,1200.3,766460,161330
Talbach,"Mols, Tal",St.Gallen,im Normalbetrieb,1954,504,739030,219350
Isenthal (Bolzbach),Seedorf,Uri,im Normalbetrieb,1955,436.7,687990,194880
Peccia (Sambuco),Piano di Peccia,Tessin,im Normalbetrieb,1955,1036.5,690170,141150
Les Clées,Les Clées,Waadt,im Normalbetrieb,1955,574.3,524050,176030
Birsfelden,Birsfelden,Basel-Landschaft,im Normalbetrieb,1955,256,614130,267700
Cavergno,Cavergno,Tessin,im Normalbetrieb,1955,529,689030,134240
La Jougnenaz,Vallorbe,Waadt,im Normalbetrieb,1955,744.25,520340,175200
Bisisthal,Bisisthal,Schwyz,im Normalbetrieb,1956,787.8,705770,200440
St-Léonard,"St-Léonard, Mangol",Wallis,im Normalbetrieb,1956,502.5,600470,123240
Riddes,"Riddes, Ecône",Wallis,im Normalbetrieb,1956,477.14,582280,111800
Bürglen (Säge),Bürglen,Thurgau,im Normalbetrieb,1956,438,728990,267690
Le Furcil,"Noiraigue, Le Furcil",Neuenburg,im Normalbetrieb,1956,717.2,546200,200530
Rheinau,Rheinau,Zürich,im Normalbetrieb,1956,358,687400,277120
Fionnay (Dixence),Fionnay,Wallis,im Normalbetrieb,1957,1490.65,589530,98250
Diablerets,"Les Diablerets, Le Plan",Waadt,im Normalbetrieb,1957,1165.3,578140,133560
"Eichi, Alpnach","Alpnach, Eichibrücke",Obwalden,im Normalbetrieb,1957,438.9,664660,199200
Bäch,Bäch,Schwyz,im Normalbetrieb,1957,410.8,697490,228510
Piani di Verdabbio,Piani di Verdabbio,Graubünden,im Normalbetrieb,1957,366.73,733750,127450
Sustli,Beckenried,Nidwalden,im Normalbetrieb,1957,436,679510,201940
Safien Platz,Safien Platz,Graubünden,im Normalbetrieb,1957,1296.5,743620,171340
Gabi,Gabi,Wallis,im Normalbetrieb,1957,1301.5,648750,115390
Chamarin,Chamarin / Ayent,Wallis,im Normalbetrieb,1957,1388.7,599470,129270
Croix,Croix / Ayent,Wallis,im Normalbetrieb,1957,921.7,599650,128530
Zervreila,"Vals, Staumauer Zervreila",Graubünden,im Normalbetrieb,1958,1735,728820,160010
Mottec,"Ayer, Mottec",Wallis,im Normalbetrieb,1958,1563,614010,111300
Vissoie,"Ayer, Vissoie",Wallis,im Normalbetrieb,1958,1122,611370,117620
"Vissoie ""groupe auxiliaire""","Ayer, Vissoie",Wallis,im Normalbetrieb,1958,1122.35,611370,117620
Muranzina,Sta.Maria,Graubünden,im Normalbetrieb,1958,1451.5,829000,164950
Lostallo,"Lostallo, Rura",Graubünden,im Normalbetrieb,1958,441.8,736340,131600
Rothenbrunnen (KWZ),Rothenbrunnen,Graubünden,im Normalbetrieb,1958,622.4,751200,181320
Pallazuit,Liddes,Wallis,im Normalbetrieb,1958,1330.5,580690,92200
Fionnay (Mauvoisin),Fionnay,Wallis,im Normalbetrieb,1958,1495.1,589880,97660
Löbbia (Albigna),Casaccia,Graubünden,im Normalbetrieb,1959,1421,770810,138370
Ackersand 2,"Stalden, Ackersand",Wallis,im Normalbetrieb,1959,700.6,633600,121070
Merezenbach,"Münster, Moos ",Wallis,im Normalbetrieb,1959,1337.2,664400,148610
Bannwald (Grabs),"Grabs, Bannwald",St.Gallen,im Normalbetrieb,1959,824,749960,226520
Kleintal (Isenthal),Isenthal,Uri,im Normalbetrieb,1959,767.3,685600,196050
Biasca,Biasca,Tessin,im Normalbetrieb,1959,280,718880,132680
Castasegna,Castasegna,Graubünden,im Normalbetrieb,1959,684,759890,133750
Erlenbach,Erlenbach,Bern,im Normalbetrieb,1959,683.5,608380,167300
Mutteins,Tavanasa,Graubünden,im Normalbetrieb,1960,776,724760,179840
Hinterthal (Muota),Muotathal,Schwyz,im Normalbetrieb,1960,639.4,702260,203090
Hinterthal (Hüribach),Muotathal,Schwyz,im Normalbetrieb,1960,639.4,702260,203090
Hugschwendi,"Kerns, Stöckalp",Obwalden,im Normalbetrieb,1960,1060.5,664340,183510
Saas-Fee,"Saas-Fee, Wichulti",Wallis,im Normalbetrieb,1960,1676.65,638520,107320
Nendaz,Riddes,Wallis,im Normalbetrieb,1960,479,585550,114630
Löbbia (Forno),Casaccia,Graubünden,im Normalbetrieb,1960,1421,770810,138370
"Löbbia, Pumpe Forno (Pumpzen.)",Casaccia,Graubünden,im Normalbetrieb,1960,1421,770810,138370
Murkart,Matzingen,Thurgau,im Normalbetrieb,1960,423.34,711110,266240
Isch,Grindelwald,Bern,im Normalbetrieb,1960,1050,646840,164090
Ardon,Ardon,Wallis,im Normalbetrieb,1960,510.95,585950,118380
"Fuhren (Gental), Innertkirchen","Underi-Furen, Innertkirchen",Bern,im Normalbetrieb,1961,1134.5,668420,175500
"Fuhren (Pumpzentrale), Innertk","Underi-Furen, Innertkirchen",Bern,im Normalbetrieb,1961,1134.5,668420,175500
Göschenen (Andermatt),Göschenen,Uri,im Normalbetrieb,1961,1097,687750,169100
Rütiberg (Obersee),Rütiberg / Näfels,Glarus,im Normalbetrieb,1961,827.5,721370,217080
Stafel (Centrale de pompage),Stafel,Wallis,im Normalbetrieb,1961,2179,618550,94830
Soazza,Soazza,Graubünden,im Normalbetrieb,1961,481.5,736530,133880
Lona,"Grimentz-Lona, Val de Moiry",Wallis,im Normalbetrieb,1961,2272,608280,111530
Sihl-Höfe,Wollerau,Schwyz,im Normalbetrieb,1961,713.75,694280,225900
Sils (KHR),"Sils, Nisellas",Graubünden,im Normalbetrieb,1961,672.5,755080,174440
Lizun,Casaccia,Graubünden,im Normalbetrieb,1961,1424.25,770720,139000
Oberalp,Andermatt,Uri,im Normalbetrieb,1961,1468.2,689450,165300
Ferrera 1,Ausserferrera,Graubünden,im Normalbetrieb,1962,1399.8,753080,155460
Göschenen (Göscheneralp),Göschenen,Uri,im Normalbetrieb,1962,1097,687750,169100
Sahli (Ruosalp),"Bisisthal, Sahli",Schwyz,im Normalbetrieb,1962,1137.95,707160,197240
Spina (Isola),"Mesocco, Spina",Graubünden,im Normalbetrieb,1962,1192.85,735910,143730
Bondo,Bondo,Graubünden,stillgelegt,1962,800.7,762650,133590
Dallenwil,Wolfenschiessen,Nidwalden,im Normalbetrieb,1962,507.5,672750,196060
AAREwerk 62 Thun,Thun,Bern,im Normalbetrieb,1962,557.8,613350,178960
Reichenau,Domat-Ems,Graubünden,im Normalbetrieb,1962,577,753220,189360
Simmenfluh,Simmenfluh (Wimmis),Bern,im Normalbetrieb,1962,632.15,614080,169080
Unterschächen,Unterschächen,Uri,im Normalbetrieb,1962,989,701020,191090
Tavanasa (KVR),Tavanasa,Graubünden,im Normalbetrieb,1962,797.4,722880,179020
Bärenburg,Andeer,Graubünden,im Normalbetrieb,1962,1065,751940,161800
Olivone,Olivone,Tessin,im Normalbetrieb,1962,1019.5,715860,155380
Ferrera 2,Ausserferrera,Graubünden,im Normalbetrieb,1963,1395.6,753080,155460
Niederried,"Niederried, Radelfingen",Bern,im Normalbetrieb,1963,459.05,584980,205810
Bocki 2,"Erstfeld, Ripshusen",Uri,im Normalbetrieb,1963,465.1,691040,188450
Arolla (Centrale de pompage),Arolla,Wallis,im Normalbetrieb,1963,2008,603500,95780
Monthey (Tine),"Monthey, Les Nants",Wallis,im Normalbetrieb,1963,437.2,562100,122100
Spina (Valbella),"Mesocco, Spina",Graubünden,im Normalbetrieb,1963,1192.85,735910,143730
"Löbbia,Pumpe Murtaira (Pumpz.)",Murtaira,Graubünden,im Normalbetrieb,1963,1969.5,772050,137750
Hospitalet,L'Hospitalet,Wallis,im Normalbetrieb,1963,1920.92,580480,81630
Luzzone,Ghirone,Tessin,im Normalbetrieb,1963,1492,716700,158240
Bargaus,Sagogn,Graubünden,im Normalbetrieb,1963,666.31,740090,184080
Obermatt-Nebenzentrale,Grafenort,Obwalden,im Normalbetrieb,1963,657.5,671150,188400
Tierfehd (Limmern),"Linthal, Tierfehd",Glarus,im Normalbetrieb,1964,816.3,718030,192830
Tierfehd (Hintersand),"Linthal, Tierfehd",Glarus,im Normalbetrieb,1964,816.3,718030,192830
Linthal (Limmern),Linthal,Glarus,im Normalbetrieb,1964,683.2,718010,197210
Ferpècle (Centrale de pompage),Ferpècle,Wallis,im Normalbetrieb,1964,1834,608500,100860
Chanrion,"Fionnay, Mauvoisin",Wallis,im Normalbetrieb,1964,1965.5,593180,94250
Schiffenen,Schiffenen,Freiburg,im Normalbetrieb,1964,497,581370,192430
Schaffhausen,Schaffhausen,Schaffhausen,im Normalbetrieb,1964,389.65,689470,283180
Muttsee,"Linthal, Ochsenstafel",Glarus,stillgelegt,1965,1869.65,720060,189570
Z'Mutt (Centrale de pompage),Z'Mutt,Wallis,im Normalbetrieb,1965,1908.3,620950,95000
Gordola,Gordola,Tessin,im Normalbetrieb,1965,200,708880,116840
Stalden (KWM),Stalden,Wallis,im Normalbetrieb,1965,715.1,632290,119950
